# Site: https://kubernetes.recipes/
# Run Date: 2026-06-06T00:44:19.573Z
# Pages Crawled: 606
# Total Issues: 1915

issue_type,severity,category,url,evidence_summary,change_state,fix_recommendation,ownership
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_SHORT,Medium,CONTENT,https://kubernetes.recipes/recipes/troubleshooting/debug-pod-eviction-reasons,"Meta description too short (113 chars, min: 120)",changed,Expand the meta description to at least 120 characters.,content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/troubleshooting/kubernetes-exec-into-pod,"Meta description too long (164 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_INDEXABLE_TITLE_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/troubleshooting/podman-tls-x509-corporate-proxy,"Title too long (61 chars, max: 60)",changed,Shorten the title to 60 characters or fewer. Put the most important keywords first.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/authors,og:url (https://kubernetes.recipes/authors/) doesn't match canonical (https://kubernetes.recipes/authors),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/chapters,og:url (https://kubernetes.recipes/chapters/) doesn't match canonical (https://kubernetes.recipes/chapters),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/community,og:url (https://kubernetes.recipes/community/) doesn't match canonical (https://kubernetes.recipes/community),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_X_TWITTER_CARD_MISSING,Medium,SOCIAL_TAGS,https://kubernetes.recipes/KubernetesRecipes-sample.pdf,Page is missing Twitter Card tags,unchanged,"Add Twitter Card tags: twitter:card, twitter:title, twitter:description, twitter:image.",content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes,og:url (https://kubernetes.recipes/recipes/) doesn't match canonical (https://kubernetes.recipes/recipes),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai,og:url (https://kubernetes.recipes/recipes/ai/) doesn't match canonical (https://kubernetes.recipes/recipes/ai),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/ai-batch-processing-volcano,og:url (https://kubernetes.recipes/recipes/ai/ai-batch-processing-volcano/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/ai-batch-processing-volcano),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/aiperf-benchmark-llm-kubernetes,og:url (https://kubernetes.recipes/recipes/ai/aiperf-benchmark-llm-kubernetes/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/aiperf-benchmark-llm-kubernetes),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/aiperf-concurrency-sweep-kubernetes,og:url (https://kubernetes.recipes/recipes/ai/aiperf-concurrency-sweep-kubernetes/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/aiperf-concurrency-sweep-kubernetes),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/aiperf-goodput-slo-benchmark,og:url (https://kubernetes.recipes/recipes/ai/aiperf-goodput-slo-benchmark/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/aiperf-goodput-slo-benchmark),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/aiperf-multi-model-benchmark,og:url (https://kubernetes.recipes/recipes/ai/aiperf-multi-model-benchmark/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/aiperf-multi-model-benchmark),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/aiperf-trace-replay-kubernetes,og:url (https://kubernetes.recipes/recipes/ai/aiperf-trace-replay-kubernetes/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/aiperf-trace-replay-kubernetes),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/compare-nccl-intra-inter-node,og:url (https://kubernetes.recipes/recipes/ai/compare-nccl-intra-inter-node/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/compare-nccl-intra-inter-node),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/dell-poweredge-xe7740-gpu-setup,og:url (https://kubernetes.recipes/recipes/ai/dell-poweredge-xe7740-gpu-setup/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/dell-poweredge-xe7740-gpu-setup),unchanged,Ensure og:url and the canonical URL point to the same page.,content
SOCIAL_TAGS_OPEN_GRAPH_URL_NOT_MATCHING_CANONICAL,Medium,SOCIAL_TAGS,https://kubernetes.recipes/recipes/ai/deploy-fish-audio-tts-kubernetes,og:url (https://kubernetes.recipes/recipes/ai/deploy-fish-audio-tts-kubernetes/) doesn't match canonical (https://kubernetes.recipes/recipes/ai/deploy-fish-audio-tts-kubernetes),unchanged,Ensure og:url and the canonical URL point to the same page.,content
